ts_code,hold_ratio,top_10_d_r
000725.SZ,31.72,31.72
000726.SZ,39.4192,39.4192
000727.SZ,52.03,52.03
000728.SZ,62.45,62.45
000729.SZ,75.60000000000002,75.60000000000002
000731.SZ,26.49,26.49
000732.SZ,60.12000000000001,60.12000000000001
000733.SZ,47.38999999999999,47.38999999999999
000735.SZ,23.65,23.65
000736.SZ,79.75000000000001,79.75000000000001
000737.SZ,35.38,35.38
000738.SZ,59.7,59.7
000739.SZ,60.94,60.94
000750.SZ,46.16,46.16
000751.SZ,25.95,25.95
000752.SZ,43.69,43.69
000753.SZ,44.02,44.02
000755.SZ,39.1,39.1
000756.SZ,70.78,70.78
000757.SZ,60.1,60.1
000758.SZ,46.3,46.3
000759.SZ,76.9,76.9
000761.SZ,81.78,81.78
000762.SZ,34.06,34.06
000766.SZ,55.6,55.6
000767.SZ,69.53,69.53
000768.SZ,65.75,65.75
000776.SZ,73.21,73.21
000777.SZ,34.51,34.51
000778.SZ,48.88000000000001,48.88000000000001
000779.SZ,73.64999999999998,73.64999999999998
000780.SZ,65.00999999999999,65.00999999999999
000782.SZ,39.39,39.39
000783.SZ,55.27,55.27
000785.SZ,92.57999999999998,92.57999999999998
000786.SZ,63.94,63.94
000788.SZ,46.71,46.71
000789.SZ,53.35999999999999,53.35999999999999
000790.SZ,23.08,23.08
000791.SZ,65.17999999999999,65.17999999999999
000793.SZ,33.89,33.89
000795.SZ,52.51000000000001,52.51000000000001
000796.SZ,50.03,50.03
000797.SZ,61.96,61.96
000798.SZ,67.0,67.0
000799.SZ,40.63000000000001,40.63000000000001
000800.SZ,87.49,87.49
000801.SZ,56.07999999999999,56.07999999999999
000802.SZ,39.31,39.31
000803.SZ,58.81999999999999,58.81999999999999
000806.SZ,48.76000000000001,48.76000000000001
000807.SZ,55.16,55.16
000809.SZ,43.81,43.81
000810.SZ,69.56,69.56
000811.SZ,50.82,50.82
000812.SZ,37.85,37.85
000813.SZ,65.7,65.7
000815.SZ,55.76,55.76
000816.SZ,29.87,29.87
000818.SZ,35.62999999999999,35.62999999999999
000819.SZ,40.790000000000006,40.790000000000006
000820.SZ,60.92999999999999,60.92999999999999
000821.SZ,39.47,39.47
000822.SZ,46.63,46.63
000823.SZ,36.59,36.59
000825.SZ,69.11999999999999,69.11999999999999
000826.SZ,51.52,51.52
000828.SZ,71.60000000000002,71.60000000000002
000829.SZ,51.97,51.97
000830.SZ,42.790000000000006,42.790000000000006
000831.SZ,47.09,47.09
000833.SZ,59.06999999999999,59.06999999999999
000835.SZ,36.38,36.38
000836.SZ,26.35,26.35
000837.SZ,42.33000000000001,42.33000000000001
000838.SZ,63.34,63.34
000839.SZ,40.02,40.02
000848.SZ,56.74,56.74
000850.SZ,50.42,50.42
000851.SZ,19.55,19.55
000852.SZ,64.61,64.61
000856.SZ,34.13,34.13
000858.SZ,67.27,67.27
000859.SZ,32.01,32.01
000860.SZ,55.76,55.76
000861.SZ,51.66,51.66
000862.SZ,43.47999999999999,43.47999999999999
000863.SZ,62.19,62.19
000868.SZ,45.27,45.27
000869.SZ,62.56,62.56
000875.SZ,33.72,33.72
000876.SZ,54.6,54.6
000877.SZ,55.3,55.3
000878.SZ,54.01,54.01
000880.SZ,63.52,63.52
000881.SZ,60.47000000000001,60.47000000000001
000882.SZ,34.71,34.71
000883.SZ,84.33,84.33
000885.SZ,70.89999999999998,70.89999999999998
000886.SZ,32.09,32.09
000887.SZ,50.61999999999999,50.61999999999999
000888.SZ,45.04,45.04
000889.SZ,62.6,62.6
000890.SZ,42.9,42.9
000892.SZ,45.79999999999999,45.79999999999999
000893.SZ,68.33,68.33
000895.SZ,70.33,70.33
000897.SZ,34.52,34.52
000898.SZ,84.59,84.59
000899.SZ,75.48,75.48
000900.SZ,47.19,47.19
000901.SZ,39.1,39.1
000902.SZ,64.68,64.68
000903.SZ,44.35999999999999,44.35999999999999
000905.SZ,63.28999999999999,63.28999999999999
000906.SZ,61.60000000000001,61.60000000000001
000908.SZ,43.15,43.15
000909.SZ,54.2,54.2
000910.SZ,66.52,66.52
000911.SZ,51.05,51.05
000912.SZ,65.78999999999999,65.78999999999999
000913.SZ,55.91,55.91
000915.SZ,37.8,37.8
000917.SZ,24.79,24.79
000918.SZ,70.24000000000001,70.24000000000001
000919.SZ,61.92999999999999,61.92999999999999
000920.SZ,52.95,52.95
000921.SZ,89.16,89.16
000922.SZ,47.0,47.0
000923.SZ,56.15000000000001,56.15000000000001
000925.SZ,31.54,31.54
000926.SZ,35.029999999999994,35.029999999999994
000927.SZ,68.35,68.35
000928.SZ,59.36,59.36
000929.SZ,41.17,41.17
000930.SZ,59.83000000000001,59.83000000000001
000931.SZ,44.03,44.03
000932.SZ,76.78,76.78
000933.SZ,37.91,37.91
000935.SZ,71.13000000000002,71.13000000000002
000936.SZ,44.7,44.7
000937.SZ,75.2,75.2
000938.SZ,67.45,67.45
000948.SZ,50.24,50.24
000949.SZ,57.31,57.31
000950.SZ,79.79,79.79
000951.SZ,77.21,77.21
000952.SZ,39.72,39.72
000953.SZ,57.46,57.46
000955.SZ,18.69,18.69
000957.SZ,47.72,47.72
000958.SZ,88.26,88.26
000959.SZ,88.72999999999998,88.72999999999998
000960.SZ,54.36,54.36
000961.SZ,64.47000000000001,64.47000000000001
000962.SZ,55.87999999999999,55.87999999999999
000963.SZ,64.66,64.66
000965.SZ,55.45,55.45
000966.SZ,54.23,54.23
000967.SZ,75.06,75.06
