ts_code,hold_ratio,top10_d_r
000685.SZ,67.35000000000001,67.35000000000001
000686.SZ,51.54,51.54
000687.SZ,48.37,48.37
000688.SZ,82.97,82.97
000690.SZ,42.89000000000001,42.89000000000001
000691.SZ,37.54,37.54
000692.SZ,40.71,40.71
000695.SZ,42.35,42.35
000697.SZ,43.45,43.45
000698.SZ,52.900000000000006,52.900000000000006
000700.SZ,40.620000000000005,40.620000000000005
000701.SZ,36.35,36.35
000702.SZ,38.28999999999999,38.28999999999999
000703.SZ,64.75,64.75
000705.SZ,34.9,34.9
000707.SZ,34.87,34.87
000708.SZ,95.15999999999998,95.15999999999998
000709.SZ,69.17999999999999,69.17999999999999
000710.SZ,58.10000000000001,58.10000000000001
000711.SZ,61.89,61.89
000712.SZ,54.910000000000004,54.910000000000004
000713.SZ,38.06,38.06
000715.SZ,62.400000000000006,62.400000000000006
000716.SZ,46.55,46.55
000717.SZ,58.220000000000006,58.220000000000006
000718.SZ,70.78,70.78
000719.SZ,85.43999999999998,85.43999999999998
000720.SZ,52.61000000000001,52.61000000000001
000721.SZ,35.63,35.63
000722.SZ,58.78,58.78
000723.SZ,68.02999999999999,68.02999999999999
000725.SZ,31.72,31.72
000726.SZ,40.27,40.27
000727.SZ,52.03,52.03
000728.SZ,62.44999999999999,62.44999999999999
000729.SZ,75.6,75.6
000731.SZ,26.49,26.49
000732.SZ,60.120000000000005,60.120000000000005
000733.SZ,47.39000000000001,47.39000000000001
000735.SZ,23.65,23.65
000736.SZ,79.75000000000001,79.75000000000001
000737.SZ,35.38,35.38
000738.SZ,59.7,59.7
000739.SZ,60.940000000000005,60.940000000000005
000750.SZ,46.16,46.16
000751.SZ,25.950000000000003,25.950000000000003
000752.SZ,43.690000000000005,43.690000000000005
000753.SZ,44.02,44.02
000755.SZ,39.099999999999994,39.099999999999994
000756.SZ,70.77999999999999,70.77999999999999
000757.SZ,60.1,60.1
000758.SZ,46.3,46.3
000759.SZ,76.89999999999999,76.89999999999999
000761.SZ,81.78,81.78
000762.SZ,34.06,34.06
000766.SZ,55.599999999999994,55.599999999999994
000767.SZ,69.53,69.53
000768.SZ,65.75,65.75
000776.SZ,73.21,73.21
